GRB,z,P_bolo,P_bolo_err,S_bolo,S_bolo_err,F_beam,F_beam_err,T_lag,T_lag_err,V,V_err,E_peak,E_peak_err,T_RT,T_RT_err
970228,0.7,7.30E-06,4.30E-07,,,,,,,0.016,0.01,115,38,,
970508,0.84,3.30E-06,3.30E-07,8.09E-06,8.10E-07,0.0795,0.0204,0.49,0.02,0.018,0.004,389,40,0.65,0.07
970828,0.96,1.00E-05,1.10E-06,1.23E-04,1.20E-05,5.32E-03,1.44E-03,,0.052,0.005,298,30,0.36,0.14,
971214,3.42,7.50E-07,2.40E-08,,,0.03,0.05,0.048,0.002,190,20,,,,
980703,0.97,1.20E-06,3.60E-08,2.83E-05,2.90E-06,1.84E-02,2.67E-03,0.69,0.02,0.024,0.001,254,25,3,0.19
990123,1.61,1.30E-05,5.00E-07,3.11E-04,3.10E-05,2.41E-03,6.90E-04,0.07,0.01,0.059,0.003,604,60,,
990506,1.31,1.10E-05,1.50E-07,,,0.04,0.01,0.337,0.001,283,30,0.13,0.01,,
990510,1.62,3.30E-06,1.20E-07,2.85E-05,2.90E-06,2.13E-03,3.19E-04,0.03,0.01,0.118,0.001,126,10,0.13,0.01
990705,0.84,6.60E-06,2.60E-07,1.34E-04,1.50E-05,3.48E-03,9.60E-04,,0.097,0.004,189,15,0.62,0.37,
991208,0.71,2.10E-05,2.10E-06,,,,0.023,0.003,190,20,0.27,0.01,,,
991216,1.02,4.10E-05,3.80E-07,2.48E-04,2.50E-05,3.00E-03,9.46E-04,0.03,0.01,0.062,0.003,318,30,0.09,0.01
131,4.5,7.30E-07,8.30E-08,,,,0.056,0.005,163,13,0.84,0.39,,,
210,0.85,2.00E-05,2.10E-06,,,,0.018,0.002,408,14,0.45,0.03,,,
911,1.06,1.90E-05,1.90E-06,,,,0.122,0.013,986,100,0.07,0.22,,,
926,2.07,2.90E-06,2.90E-07,,,,0.326,0.034,100,7,,,,,
10222,1.48,2.30E-05,7.20E-07,2.45E-04,9.10E-06,0.0014,0.0001,,0.143,0.004,309,12,0.45,0.01,
10921,0.45,1.80E-06,1.60E-07,,,1,0.04,0.008,0.006,89,14,4.31,0.71,,
20124,3.2,6.10E-07,1.00E-07,1.14E-05,1.10E-06,4.10E-03,1.09E-03,0.07,0.06,0.266,0.04,87,12,0.59,0.17
20405,0.7,7.40E-06,3.10E-07,1.10E-04,2.10E-06,5.98E-03,1.96E-03,,0.104,0.007,364,90,0.48,0.09,
20813,1.25,3.80E-06,2.60E-07,1.59E-04,2.90E-06,1.14E-03,2.92E-04,0.15,0.01,0.164,0.004,140,13,0.59,0.05
