epoch,d_acc,d_loss,g_loss,val_d_acc,val_d_loss,val_g_loss
0,0.5106770992279053,-914.959716796875,0.03399015963077545,0.5,95.87194061279297,2.6451964522371452e-20
0,0.5083333253860474,-193.1330108642578,0.040013786405324936,0.5,71.94303894042969,0.0
1,0.5,-64179.234375,0.0,0.5,5033.68994140625,0.0
2,0.5,-1675783.375,0.0,0.5,75964.875,0.0
3,0.5,-16741874.0,0.0,0.5,566349.75,0.0
4,0.5,-92564528.0,0.0,0.5,2588165.25,0.0
5,0.5,-340971808.0,0.0,0.5,8499909.0,0.0
6,0.5,-1006719296.0,0.0,0.5,23768302.0,0.0
7,0.5,-2715354624.0,0.0,0.5,56213248.0,0.0
8,0.5,-6001857536.0,0.0,0.5,116909752.0,0.0
9,0.5,-12388849664.0,0.0,0.5,231849696.0,0.0
0,0.524218738079071,-247.97314453125,0.08572517335414886,0.5,84.851806640625,0.0
0,0.5,6.2256340980529785,0.7352977395057678,1.0,0.3025714159011841,0.7925270795822144
1,1.0,0.23856854438781738,0.7253620028495789,1.0,0.32863062620162964,0.7311389446258545
2,1.0,0.0938507616519928,0.6874473094940186,1.0,0.3369777202606201,0.7138502597808838
3,1.0,0.06571924686431885,0.7097830176353455,1.0,0.3661803603172302,0.6554652452468872
4,1.0,0.018158018589019775,0.6776701807975769,1.0,0.3521754741668701,0.6822311878204346
5,1.0,-0.13448591530323029,0.665661096572876,1.0,0.3606955409049988,0.6656791567802429
6,1.0,-0.2607296109199524,0.662266194820404,1.0,0.3579394221305847,0.67094886302948
7,1.0,-0.2699907124042511,0.6553187370300293,1.0,0.3715394139289856,0.6458615064620972
8,1.0,-0.4623177945613861,0.6471378207206726,1.0,0.37667518854141235,0.6368157863616943
9,1.0,-0.8196752667427063,0.6180775761604309,1.0,0.38193851709365845,0.6288906335830688
0,0.5098958611488342,-32.444786071777344,0.06698973476886749,0.5,26.235280990600586,7.821269300885714e-15
1,0.5,-26403.310546875,1.300251504399749e-23,0.5,7770.5810546875,0.0
2,0.5,-932169.375,0.0,0.5,164803.203125,0.0
3,0.5,-9815523.0,0.0,0.5,1307391.125,0.0
4,0.5,-57657340.0,0.0,0.5,6469057.0,0.0
5,0.5,-224205664.0,0.0,0.5,22429604.0,0.0
6,0.5,-705834240.0,0.0,0.5,63737344.0,0.0
7,0.5,-1785715072.0,0.0,0.5,153794752.0,0.0
8,0.5,-4020432896.0,0.0,0.5,329136000.0,0.0
9,0.5,-8039589376.0,0.0,0.5,646473280.0,0.0
0,0.5151041746139526,-1353.4791259765625,0.042286038398742676,0.5,123.26046752929688,0.0
1,0.5002604126930237,-133038.34375,0.12407974153757095,0.5,17645.3984375,0.0
2,0.5,-2363637.5,0.0,0.5,287786.21875,0.0
3,0.5,-20171820.0,0.0,0.5,1930152.875,0.0
4,0.5,-103048744.0,0.0,0.5,8389607.0,0.0
5,0.5,-377806528.0,0.0,0.5,28739502.0,0.0
6,0.5,-1096271360.0,0.0,0.5,76383488.0,0.0
7,0.5,-2798431488.0,0.0,0.5,179748576.0,0.0
8,0.5,-5979485696.0,0.0,0.5,382400672.0,0.0
9,0.5,-12577275904.0,0.0,0.5,744964416.0,0.0
0,1.0,0.162675142288208,0.6605275869369507,1.0,0.34200727939605713,0.7052132487297058
1,1.0,-0.1085129976272583,0.6027798056602478,1.0,0.3877190351486206,0.6176222562789917
2,1.0,-1.0071958303451538,0.6052194237709045,1.0,0.4316732883453369,0.5483177900314331
3,1.0,-1.1137765645980835,0.5796049237251282,1.0,0.40711554884910583,0.5852121114730835
4,1.0,-1.6485681533813477,0.5537272691726685,1.0,0.43182820081710815,0.5481843948364258
5,0.9166666865348816,-1.7711124420166016,0.5030169486999512,1.0,0.4471317231655121,0.5262632369995117
6,0.9166666865348816,-3.1541779041290283,0.49407103657722473,0.75,0.4964951276779175,0.4629552960395813
