epoch,g_loss,s_acc,s_loss,u_acc,u_loss,val_g_loss,val_s_acc,val_s_loss,val_u_acc,val_u_loss
0,0.5271655917167664,0.5101562738418579,0.7563949823379517,0.0,0.7488160133361816,0.8887551426887512,0.503125011920929,0.7267363667488098,1.0,0.9977076649665833
1,1.9246151447296143,0.6039062738418579,0.6629416346549988,0.0,0.2464607208967209,0.7054343223571777,0.5843750238418579,0.6446268558502197,1.0,0.9993127584457397
2,2.5457656383514404,0.739062488079071,0.6066137552261353,0.0,0.15706290304660797,2.0182790756225586,0.9750000238418579,0.5475428104400635,1.0,0.9981547594070435
3,3.271503448486328,0.952343761920929,0.47454673051834106,0.0,0.02324405498802662,2.5481791496276855,0.971875011920929,0.3816576898097992,1.0,0.9992120862007141
4,3.397815704345703,0.9750000238418579,0.265292763710022,0.0,-0.1073712706565857,2.2555668354034424,1.0,0.1292749047279358,1.0,0.9996922016143799
5,8.28222942352295,0.960156261920929,0.14358295500278473,0.0,0.6385776400566101,16.245290756225586,1.0,0.02950146794319153,0.5,1.0012584924697876
6,7.1192426681518555,0.7984374761581421,0.477827250957489,0.0,5.4213457107543945,3.5897630823455984e-06,1.0,0.03981058672070503,0.5,1.0054112672805786
7,1.1762624979019165,0.887499988079071,0.2273300588130951,0.0,1.6516284942626953,0.1948346346616745,0.971875011920929,0.1771242469549179,0.5249999761581421,1.0009630918502808
8,0.7381619215011597,0.944531261920929,0.16946028172969818,0.0,4.706796169281006,0.08757230639457703,1.0,0.04902803897857666,0.05000000074505806,0.9927178621292114
9,3.0075926780700684,0.9976562261581421,0.05084819346666336,0.0,2.845778226852417,1.144795536994934,1.0,0.041776224970817566,0.5,1.0010738372802734
10,1.2691082954406738,1.0,0.043791670352220535,0.0,2.148951292037964,2.492962598800659,1.0,0.05621717497706413,0.5,1.006115198135376
11,2.6260733604431152,1.0,0.057727254927158356,0.0,0.5690309405326843,2.642685890197754,1.0,0.05869433283805847,0.9828125238418579,0.9906730055809021
12,3.478142499923706,1.0,0.04744715243577957,0.0,0.22745183110237122,1.704088807106018,1.0,0.042824119329452515,0.8609374761581421,0.994188666343689
13,2.5837419033050537,1.0,0.026777705177664757,0.0,0.6378023624420166,0.3496849834918976,1.0,0.06277800351381302,0.2906250059604645,0.9979392290115356
14,0.9925569295883179,0.996874988079071,0.04648270457983017,0.0,1.7474018335342407,0.8219582438468933,1.0,0.026989907026290894,0.5,1.0015571117401123
15,0.5727837681770325,0.99609375,0.04055952653288841,0.0,1.974514365196228,0.29400011897087097,1.0,0.03416355326771736,0.0,0.9967345595359802
16,0.6712058782577515,1.0,0.0251621101051569,0.0,1.2519590854644775,0.4444490969181061,1.0,0.02292797714471817,0.14374999701976776,0.9996376037597656
17,1.1486828327178955,1.0,0.031641121953725815,0.0,1.1234304904937744,0.48575451970100403,1.0,0.030306309461593628,0.31562501192092896,1.0002976655960083
18,1.2050259113311768,1.0,0.02919333055615425,0.0,0.9944378137588501,0.3695719242095947,1.0,0.032813698053359985,0.0062500000931322575,0.9600757956504822
19,1.1554635763168335,1.0,0.034951601177453995,0.0,1.0711201429367065,1.0700918436050415,1.0,0.034302230924367905,0.5,1.0032093524932861
