Complexity|MSE|Equation
1|0.034748297|0.13087642
3|0.033107195|(r * 0.0077176634)
5|0.027391989|((g * 0.06297061) + -1.0289634)
7|0.026301306|(2.1221392 - ((u - -16.714222) / g))
9|0.025296278|(3.0950162 - ((u - (-17.534882 - z)) / g))
11|0.023043202|((-0.4718712 - (g * -0.38221303)) + ((r + u) * -0.17146266))
13|0.022198604|(((u - (g + g)) * -0.15712379) - ((z * 0.11516975) + 0.56889224))
15|0.0204718|((((z - ((u - z) / 0.43786326)) * (u - g)) - g) * -0.027697211)
17|0.020410297|((((r - ((u - z) / 0.42029056)) * (u - g)) - (u - 1.4255682)) * -0.030366546)
19|0.020004531|((((z - ((u - i) / 0.4330988)) * (u - g)) - u) * (-0.0016340201 / (1.1305335 / z)))
