complexity,loss,score,equation,sympy_format,lambda_format
1,0.037053984,0.0,0.1493914,0.149391400000000,PySRFunction(X=>0.149391400000000)
3,0.034900695,0.029934566637639423,(g * 0.008616983),0.008616983*g,PySRFunction(X=>0.008616983*g)
5,0.024901073,0.16879792406926197,(-1.4946215 - (g * -0.09076289)),0.09076289*g - 1.4946215,PySRFunction(X=>0.09076289*g - 1.4946215)
7,0.023254182,0.03421295404271296,(i * ((g * 0.005154671) + -0.08491869)),i*(0.005154671*g - 0.08491869),PySRFunction(X=>i*(0.005154671*g - 0.08491869))
9,0.02090015,0.053364325423880546,((((r * 0.015676435) - 0.4502989) * z) + 3.1057212),z*(0.015676435*r - 0.4502989) + 3.1057212,PySRFunction(X=>z*(0.015676435*r - 0.4502989) + 3.1057212)
11,0.020155206,0.01814685933636006,((z / ((42.58986 / (r + -22.907434)) - 4.5465603)) + 1.4919475),z/(-4.5465603 + 42.58986/(r - 22.907434)) + 1.4919475,PySRFunction(X=>z/(-4.5465603 + 42.58986/(r - 22.907434)) + 1.4919475)
13,0.01990355,0.006282254762745585,((((((r + z) * 0.0006154956) - 0.03764334) * z) + 0.2856228) * i),i*(z*(0.0006154956*r + 0.0006154956*z - 0.03764334) + 0.2856228),PySRFunction(X=>i*(z*(0.0006154956*r + 0.0006154956*z - 0.03764334) + 0.2856228))
15,0.01961594,0.007277803379369278,((((i * z) * (((i * g) * 8.694772e-7) - 0.00035552232)) * z) - -0.5332338),i*z**2*(8.694772e-7*g*i - 0.00035552232) + 0.5332338,PySRFunction(X=>i*z**2*(8.694772e-7*g*i - 0.00035552232) + 0.5332338)
17,0.019585418,0.0007785956335387887,((((((((i * g) - u) * 8.9083755e-7) - 0.0003453525) * z) * i) * z) - -0.53670144),i*z**2*(8.9083755e-7*g*i - 8.9083755e-7*u - 0.0003453525) + 0.53670144,PySRFunction(X=>i*z**2*(8.9083755e-7*g*i - 8.9083755e-7*u - 0.0003453525) + 0.53670144)
19,0.019496758,0.0022685572085801757,(((((((i * g) * 4.46399e-8) - 1.852889e-5) * (i * z)) * (z - 0.09975216)) - -0.029554687) * z),z*(i*z*(z - 0.09975216)*(4.46399e-8*g*i - 1.852889e-5) + 0.029554687),PySRFunction(X=>z*(i*z*(z - 0.09975216)*(4.46399e-8*g*i - 1.852889e-5) + 0.029554687))
