u,g,r,i,z,u_err,g_err,r_err,i_err,z_err,specz,specz_err,photoz,photoz_err
21.2472,21.60583,21.60583,19.13748,18.44707,0.2796703,0.228679,0.08291604,0.06417046,0.1339187,0.425421,0.0001642217,0.414627,0.026172
20.67347,18.81871,18.81871,17.32059,16.93212,0.1874619,0.02133095,0.01317937,0.01373927,0.02567012,0.6986262,0.0001059886,0.128484,0.010869
19.90333,19.38204,19.38204,18.37979,18.07279,0.06915858,0.01984614,0.01764107,0.01943604,0.05171278,0.4711325,7.548826E-05,0.382799,0.072646
19.90333,19.38204,19.38204,18.37979,18.07279,0.06915858,0.01984614,0.01764107,0.01943604,0.05171278,0.4714073,4.916306E-05,0.382799,0.072646
19.6273,18.42606,18.42606,17.27611,17.10105,0.1301215,0.0214331,0.01898563,0.02056891,0.07259285,0.5905644,3.396585E-05,0.123637,0.026326
20.85191,21.20936,21.20936,19.12291,18.54111,0.2888201,0.1679969,0.08717658,0.09400152,0.1866871,0.4393668,7.212518E-05,0.445756,0.034001
20.88894,21.37073,21.37073,18.9863,18.6437,0.2724598,0.181504,0.09168257,0.06336896,0.2036044,0.4509588,7.322247E-05,0.47186,0.025933
21.29571,20.76204,20.76204,19.11431,18.95329,0.2176633,0.06154124,0.03982844,0.03656669,0.1087288,0.5130623,5.533409E-05,0.49665,0.080268
21.15988,20.50028,20.50028,18.88539,19.23364,0.2979808,0.07525897,0.06665093,0.04675294,0.2406728,0.5363032,3.458438E-05,0.338822,0.138544
19.97899,19.7748,19.7748,19.21823,18.83259,0.05735088,0.02137676,0.02831702,0.03515516,0.08708707,0.4300475,0.0001173009,0.609502,0.148071
19.11632,18.86406,18.86406,18.47813,18.19992,0.03652057,0.02089562,0.03391663,0.0392619,0.07463139,0.4196716,9.857472E-05,0.331256,0.085359
21.38155,20.61067,20.61067,19.10139,18.83088,0.2989658,0.06896627,0.04249109,0.04447889,0.1339123,0.4006521,3.291666E-05,0.353678,0.056708
21.52298,21.00576,21.00576,20.08963,19.86599,0.2037611,0.06020703,0.05588624,0.08498141,0.2416042,0.489199,0.000564334,0.302991,0.080151
20.83166,20.43828,20.43828,19.21755,18.92808,0.2531767,0.0667971,0.04913424,0.05701394,0.1678595,0.4074092,3.626611E-05,0.351544,0.055228
20.38567,19.98562,19.98562,19.25881,18.96167,0.09278607,0.03078141,0.04301313,0.03806938,0.1046512,0.5571489,0.0002807187,0.585358,0.176868
20.78539,20.21706,20.21706,19.02174,19.0936,0.2460119,0.06851242,0.04362107,0.05361569,0.2135586,0.403675,0.00010446,0.315416,0.066648
20.19368,19.58536,19.58536,19.38694,19.12482,0.06537626,0.01828845,0.02683654,0.03307927,0.09459051,0.6580169,0.0003170265,0.12722,0.060543
21.15417,20.65245,20.65245,19.4896,19.54991,0.261436,0.07569621,0.05439387,0.06290375,0.24947,0.4301547,1.628844E-05,0.314158,0.050222
19.72649,19.39054,19.39054,18.80605,18.67594,0.05731689,0.01967616,0.0244186,0.02780999,0.08637831,0.4458226,9.755599E-05,0.572287,0.120316
20.67271,20.35727,20.35727,18.95147,18.63452,0.2680773,0.09745263,0.05353126,0.06126959,0.1742641,0.4409238,7.855742E-05,0.361193,0.053419
19.35494,18.96572,18.96572,18.61489,18.36463,0.04304736,0.07317539,0.1712181,0.1951749,0.1664708,0.4778432,0.0002719401,0.487918,0.103253
19.67991,19.1856,19.1856,18.61682,18.21152,0.05494764,0.01498877,0.02004573,0.02106705,0.05837319,0.4047664,4.396705E-05,0.235201,0.068239
19.8142,19.64157,19.64157,19.00176,18.7476,0.0554435,0.01929784,0.02286672,0.02644358,0.08439844,0.4050809,0.00014753,0.516684,0.135765
20.73124,20.24285,20.24285,19.14689,18.62887,0.1432485,0.0361745,0.03109115,0.03328491,0.09266367,0.4087361,0.000113079,0.394896,0.075584
20.0985,20.5798,20.5798,18.87068,18.07085,0.2119985,0.1292779,0.06837963,0.07253393,0.1424436,0.4017538,3.90087E-05,0.372503,0.078172
20.26411,19.93307,19.93307,19.17097,18.70347,0.1002146,0.03034236,0.03933123,0.03945893,0.1022229,0.4085265,6.654837E-05,0.691212,0.186175
19.56116,19.27809,19.27809,18.29366,18.39742,0.1294267,0.03857613,0.03648054,0.04030842,0.1930498,0.4358124,0.0001491737,0.452783,0.090292
21.4042,20.88078,20.88078,19.72013,19.24586,0.1905541,0.04911692,0.04455861,0.0405736,0.1119134,0.4264138,3.770298E-05,0.557729,0.121551
19.48132,19.37867,19.37867,18.36393,18.04889,0.07386819,0.02910103,0.02142727,0.02893248,0.07345749,0.4124863,9.201223E-05,0.456132,0.098449
28.85194,21.3552,21.3552,18.70121,18.57032,0.1982831,0.1918174,0.06217554,0.05699724,0.1382304,0.4744717,0.0001213543,0.449423,0.02908
19.51538,19.16701,19.16701,18.60958,18.32706,0.05113432,0.01991678,0.02754563,0.02863931,0.06568781,0.430957,4.870183E-05,0.55521,0.130477
28.89901,20.93293,20.93293,18.80777,18.25087,0.271743,0.2965606,0.1332073,0.07633004,0.254801,0.5600621,0.0001525859,0.563581,0.029527
21.17613,20.74824,20.74824,19.64445,19.52488,0.2183465,0.07160004,0.07590317,0.06070234,0.2241797,0.5865112,8.093819E-05,0.511793,0.178427
20.32306,19.97122,19.97122,19.03322,18.96229,0.106895,0.03656361,0.03294909,0.03607965,0.1235184,0.4162504,0.0001066693,0.311607,0.076765
20.67724,20.29388,20.29388,19.52322,19.26175,0.1706759,0.06786507,0.05931082,0.08585384,0.2016925,0.4193292,0.0002167009,0.608933,0.182058
20.71864,20.42108,20.42108,19.34016,19.00395,0.1578536,0.05475984,0.04372422,0.05152589,0.1337271,0.4366593,1.653791E-05,0.355705,0.061616
21.00501,20.77183,20.77183,19.71269,19.55619,0.1650084,0.05572318,0.04867194,0.05141996,0.1613828,0.4767231,7.055691E-05,0.369599,0.120899
21.36272,20.82419,20.82419,19.8961,19.48425,0.1675145,0.04772454,0.06501242,0.0661635,0.1334738,0.5695716,0.0003095247,0.64236,0.190823
20.57825,20.52927,20.52927,19.82069,19.90606,0.1031587,0.03899397,0.04441944,0.0522235,0.2365901,0.4447404,1.050835E-05,0.424687,0.115806
20.96518,20.55746,20.55746,19.84345,19.48694,0.1209551,0.03801841,0.04682067,0.04098637,0.1333386,0.5228841,8.088018E-05,0.694178,0.191452
20.86209,20.70354,20.70354,19.43626,19.1387,0.1744881,0.06294189,0.06608558,0.04749613,0.1541137,0.5268314,0.0001277965,0.678775,0.091555
20.8185,20.48907,20.48907,18.82094,18.43182,0.2213061,0.07389293,0.04075265,0.04296133,0.1010925,0.434588,5.015747E-05,0.375337,0.053304
20.83279,20.32531,20.32531,19.89591,19.4637,0.1284503,0.03742027,0.05263361,0.06176659,0.1504495,0.4180183,4.127246E-05,0.619688,0.202416
20.80683,20.66436,20.66436,19.98896,19.74412,0.1100348,0.04452758,0.03901912,0.05860325,0.161733,0.4366853,1.551394E-05,0.439782,0.065218
20.83886,20.31998,20.31998,19.1457,18.84875,0.2256975,0.06394388,0.04285149,0.05500871,0.1460885,0.4759193,2.277611E-05,0.356779,0.055646
20.47619,20.87977,20.87977,19.43082,19.12763,0.1955048,0.09796726,0.05717688,0.06712971,0.1879218,0.5130087,4.814325E-05,0.431754,0.096661
20.82203,19.96825,19.96825,18.9845,18.8171,0.192548,0.03490348,0.03113687,0.0355681,0.1124626,0.4245123,3.721986E-05,0.237362,0.036581
20.94877,21.1497,21.1497,19.10265,19.00661,0.2616782,0.1469781,0.06553447,0.05653797,0.1768878,0.4191476,0.0002995657,0.403463,0.04736
21.06643,21.1846,21.1846,19.67272,19.28411,0.2025356,0.1052128,0.1053367,0.06901908,0.1736027,0.6977576,0.0002547887,0.738763,0.05066
21.36596,22.17638,22.17638,19.9809,19.29167,0.2178433,0.2568736,0.1788816,0.09418999,0.2000152,0.6160009,0.0002435108,0.616622,0.052258
21.6779,21.24764,21.24764,19.53389,19.5669,0.2983332,0.09508685,0.08055482,0.05752895,0.2273701,0.5936963,3.44466E-05,0.534234,0.120481
21.7255,21.50762,21.50762,19.64053,19.27019,0.2563004,0.1058829,0.06720323,0.05375297,0.1599775,0.5434244,0.0001473702,0.541398,0.042582
20.55789,21.29928,21.29928,18.82934,18.12659,0.2988892,0.2676003,0.07014341,0.08222374,0.1418164,0.5195898,0.0001341068,0.480542,0.059218
20.51014,22.16687,22.16687,19.81601,19.15651,0.1014849,0.2661447,0.09450486,0.06365656,0.1235704,0.5827507,0.0001884586,0.575998,0.034063
20.76278,20.95241,20.95241,19.52929,19.3411,0.2125886,0.1103962,0.07064373,0.06730011,0.199619,0.590197,0.0001426833,0.616056,0.056738
28.53135,21.28155,21.28155,19.30993,18.92352,0.2147703,0.1706993,0.08983857,0.06934235,0.1966871,0.5068825,0.0001164797,0.50343,0.048451
20.86745,20.39154,20.39154,19.49176,19.13433,0.245931,0.07247579,0.07589684,0.07109698,0.2233355,0.5051014,5.058291E-05,0.570316,0.178001
20.81977,20.52773,20.52773,18.59025,18.15801,0.2800921,0.09848298,0.05056478,0.03918428,0.08638884,0.4825776,9.104748E-05,0.469288,0.051391
21.36754,22.17662,22.17662,19.94427,19.65047,0.276969,0.2855801,0.1643259,0.08839307,0.2382512,0.6875748,0.0001990629,0.647956,0.059102
21.36754,22.17662,22.17662,19.94427,19.65047,0.276969,0.2855801,0.1643259,0.08839307,0.2382512,0.6878797,0.0001499645,0.647956,0.059102
20.65349,21.03648,21.03648,19.25589,18.81811,0.2219807,0.1316013,0.06662898,0.0604823,0.1543135,0.4897634,0.0001166524,0.48727,0.072799
20.96483,21.58736,21.58736,19.5515,18.79534,0.2832125,0.2002688,0.1070299,0.08438841,0.1665797,0.4988468,6.928875E-05,0.520205,0.040322
21.25341,21.34615,21.34615,19.76751,19.12286,0.2994182,0.1395586,0.1672803,0.09250136,0.1873794,0.6809066,0.0002300456,0.698364,0.084231
29.1047,21.76842,21.76842,19.60711,19.02388,0.1385761,0.2611017,0.1139195,0.1048187,0.2448105,0.5186703,0.0001484365,0.48319,0.031998
19.13049,21.92511,21.92511,19.36214,18.98484,0.05909877,0.2883818,0.1046662,0.07475588,0.2387417,0.4508491,0.000171528,0.474532,0.045281
20.91505,21.41283,21.41283,19.39174,18.46978,0.2737668,0.1838532,0.09856042,0.08478296,0.1332228,0.5975411,0.0002006599,0.533895,0.027819
21.12059,21.07262,21.07262,19.396,19.01487,0.2589003,0.102606,0.08183599,0.06205248,0.1627295,0.6718796,7.521038E-05,0.576707,0.059875
20.76071,21.34201,21.34201,19.35562,19.32152,0.2406824,0.1577902,0.08876637,0.07320411,0.2656111,0.4417651,0.000124811,0.454374,0.029821
20.27722,21.17376,21.17376,19.29801,18.74548,0.2069559,0.1790573,0.06572723,0.09089125,0.2174608,0.4436497,0.0001077981,0.480647,0.052165
30.92543,21.87526,21.87526,19.69747,18.70238,0.02461275,0.277508,0.1301713,0.1063818,0.1619548,0.6093085,0.0001526724,0.55612,0.033876
21.16897,21.09698,21.09698,19.36483,18.80315,0.2638565,0.1092611,0.07447664,0.05039939,0.1218575,0.5343166,0.0001404411,0.598222,0.051754
19.9082,21.27241,21.27241,18.94848,18.84308,0.2094308,0.2773422,0.1265878,0.1366398,0.2651652,0.4850373,0.0001171737,0.498182,0.022575
28.34507,21.88364,21.88364,19.39029,18.90695,0.2827123,0.2611957,0.08546823,0.06996007,0.1537426,0.4922275,0.0002063168,0.478848,0.043946
28.85682,21.32996,21.32996,19.48565,18.95458,0.1919897,0.1735926,0.1042775,0.1008396,0.1861299,0.480248,7.191432E-05,0.464059,0.089254
